Tweeet,Created time
Happy New Year from all M25 Group staff. https://t.co/D16qC2HCzx,1483264327
Recovery is now complete on the #A2 eastbound between the #A2018 and the #M25 following the earlier incident. Two lanes now open past scene.,1483264654
Recovery is now complete on the #A2 eastbound between the #A2018 and the #M25 following the earlier incident. Two lanes now open past scene.,1483264654
Recovery is now complete on the #A2 eastbound between the #A2018 and the #M25 following the earlier incident. Two lanes now open past scene…,1483264867
Recovery is now complete and all lanes have now reopened on the #M25 anticlockwise J6 exit slip. Thanks for your patience.,1483264901
All lanes have now reopened on the #A2 eastbound between the #A2018 and #M25 near #Dartford following the earlier incident. No delays.,1483265012
All lanes have now reopened on the #A2 eastbound between the #A2018 and #M25 near #Dartford following the earlier incident. No delays.,1483265012
A2 eastbound between A2018 and M25/A282 | Overturned Vehicle https://t.co/RIewLP4QNM,1483265107
TRAVEL UPDATE: @HighwaysSEAST says all lanes have now reopened on the #A2 coasbound between Dartford Heath and the… https://t.co/32juNFTHaS,1483265202
TRAVEL UPDATE: @HighwaysSEAST says all lanes have now reopened on the #A2 coasbound between Dartford Heath and the #M25 J2,1483265209
All lanes have now reopened on the #A2 eastbound between the #A2018 and #M25 near #Dartford following the earlier incident. No delays. Thx …,1483265242
A2 eastbound between A2018 and M25/A282 | Eastbound | Congestion https://t.co/dLMozxkhMH,1483265258
Recovery is now complete and all lanes have now reopened on the #M25 anticlockwise J6 exit slip. Thanks for your patience. Thx 2 HW England,1483265479
TFL UPDATE: TfLTrafficNews: RT HighwaysEAST: All lanes have now reopened on the #A2 eastbound between the #A2018 and #M25 near #Dartford fo…,1483265779
I love Pat. She just bore her testimony including being grateful for the M25 and being able to clean the chapel 😂🙌👏 #lds #mormon,1483267185
@leedsjourno that's what happens when you have a national media dominated by insular hacks who never set foot outside the M25.,1483269382
"Job Opportunity -  BMS Pre Commissioning Engineer - London / M25 area in London, United Kingdom https://t.co/pZbpMZrgMx #FRONTrunner #jobs",1483270137
When transports collide.... fascinating watching this plane do an about turn above the m25.... https://t.co/Ya0DyKakCt,1483270723
Check every caravan inside m25 https://t.co/LBPU2RFhwO,1483271798
@Ben10_Parsons £60 can get you from central london to M25,1483274681
"Hilarious chat about veganism, nuts. The M25 and big cheese. It can only be @tonyblackburn on @BBCRadioLondon - welcome back!",1483275169
"M25 + heavy rain = 😨
(alex is driving, I was supposed to be doing this bit but am still v hungover) https://t.co/XHocwywFk1",1483277173
"@FunnyTummy it's like Londoners that can fathom life outside the m25. They think London has it all, so no motivation  to explore.",1483278235
"Dan just hissed ""stay in your lane, bitch!"" at a man on the M25. I'm enjoying 2017 Dan.",1483278721
"#learningatcity highlight August 2016, reporting from #m25ltg https://t.co/g8QQ63LADF next one will be @CityUniLondon ? @julievoce #altc",1483279010
@StigAbell populism is pejorative of chaps inside the M25 who believe life didn't exist before they were born!!!,1483279439
@TfLTrafficNews M11/M25 lots of surface water &amp; poor visibility due to road spray,1483279699
#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,1483280009
#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,1483281818
#M3 Slow traffic due to accident Northbound between Junction 3 for Lightwater and Junction 2 for the M25.,1483282688
#M25 clockwise within J27 after M11 J6 northbound access - Congestion - Full details at https://t.co/l5EmoAw0RN,1483282804
#M25 clockwise within J27 after M11 J6 northbound access - Congestion - Full details at https://t.co/LwI3prBa31,1483282804
#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/0kMJUBRmxG,1483283073
#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,1483283251
"M25, never pleasant, even in the  bus. Feels like 2016 again 😩 #rain #cold #spray #draughty #hangover #hny17 https://t.co/noSIuvBn0F",1483283286
#M3 (eastbound) J3 - J2 towards #M25.. stranded car.. contractors + recovery on way to assist! take care approachin… https://t.co/9XE4tS2Qd2,1483284627
#M3 (eastbound) J3 - J2 towards #M25.. stranded car.. contractors + recovery on way to assist! take care approachin… …,1483284674
"Drove up the M23, M25, M26 and M20. The weather is horrible but the motorways fairly clear.",1483284819
Recovery work complete #M3 (eastbound) J3 - J2 towards #M25 .. Thanks to contractors for assistance.. all lanes ope… https://t.co/0Yzpupy657,1483285571
Recovery work complete #M3 (eastbound) J3 - J2 towards #M25 .. Thanks to contractors for assistance.. all lanes ope… …,1483285580
#M3 All lanes re-opened but still slow due to earlier accident Northbound between Junction 3 for Lightwater and Junction 2 for the M25.,1483286175
There's a guy driving on the M25 in torrential rain watching Sky News on a telly stuck to his window. Is there any way of reporting him?,1483287110
M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,1483287153
M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/pTh3UcnYA7,1483287153
#M25 anti-clockwise between J10 and J9 - Flooding - Full details at https://t.co/l5EmoAw0RN,1483287302
#M25 anti-clockwise between J10 and J9 - Flooding - Full details at https://t.co/LwI3prBa31,1483287303
M25 anti-clockwise between J10 and J9 | Flooding https://t.co/sMgUfuQzuz,1483287543
@Traffic_M25 business as usual,1483287546
An interesting Blog post about Belhus and its landscape.  https://t.co/ixJVuI0Co4,1483287591
M25 anti-clockwise between J10 and J9 | Flooding https://t.co/Lesoi15zaM Thx 2 HW England,1483287688
"@Monarchsway - It's been raining ☔ all day and heavy rain on M25 Essex/Hertford stretch 😕 
Hope you had a good walk this morning 😉",1483288085
@iainmartin1 and how much tax money paid bunt Heathrow for M25 improvements etc ... US is falling apart as they refuse to pay taxes for it,1483288090
"#M3 Traffic returned to normal, after earlier accident on M3 Northbound between Junction 3 for Lightwater and Junction 2 for the M25.",1483289014
#M25 Flooding anti-clockwise between Junction 10 and Junction 9.,1483289690
M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Congestion,1483289705
#M25 anti-clockwise between J10 and J9 - Congestion - Full details at https://t.co/l5EmoAw0RN,1483289822
#M25 anti-clockwise between J10 and J9 - Congestion - Full details at https://t.co/LwI3prBa31,1483289822
#방탄소년단 #love #GOT7M25 anti-clockwise between J9 and J8 | Anti-Clockwise | Road Works https://t.co/shfrwI4eo2 #travel #traveling,1483291293
#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,1483291295
Hideousness of M20/M25 round trip in rain dispatched. 335 monsters these types of journeys in comfort,1483291984
Just what you need on the motorway...... #somepeople #m25 https://t.co/BdHETTrkES,1483292208
#m25 will you middle lane hoggers MOVE,1483292476
This will be what the M25 looks like one day. https://t.co/SE65cpAE3D,1483293979
#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,1483294642
"Hiring a Catering Equipment Service Engineer - London / M25 area in Watford, United Kingdom https://t.co/l52YYyC16W #FRONTrunner #jobs",1483295383
Anonymous: Commercial Door Engineer - Permanent - M25... https://t.co/VPuSmTueDh,1483295546
Medium Accident: Westbound between B255 and J2 #Kent #Traffic #B255 #M25,1483299066
"Saw this on the #M25. Coloured roofs never work, but this seems particularly awful. Money can't buy taste #Bentley… https://t.co/6PNt15THNP",1483299317
"Look at this map of Houston.
Basically London, but without @TfL

There's M25, N &amp; S Circ, the same pattern of outgo… https://t.co/iOLnPcJ3DT",1483299794
#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,1483299905
@KayHearts1 Following the Sunset/Sunrise going round the M25 listening to Jamiroquai I hope? Otherwise what was the point? 😜 HNY 💥,1483300225
"Back from 2 weeks in Morocco to fog, rain and traffic queues on M25. But I do love England.",1483303291
You know 2017's off to a good start when the words 'do you think its illegal to do the Macarena whilst driving on the m25?' leave your mouth,1483304190
#M25 Surrey: Clockwise at J9 #Leatherhead the outside lane is blocked after an accident. Fi,1483304764
@TRobinsonNewEra @lilyallen is that outside the M25?,1483304854
M25 clockwise between J8 and J9 | Clockwise | Accident,1483304884
#M25 clockwise between J8 and J9 - Accident - Full details at https://t.co/l5EmoAw0RN,1483304942
#M25 clockwise between J8 and J9 - Accident - Full details at https://t.co/LwI3prBa31,1483304942
M25 clockwise between J8 and J9 | Accident https://t.co/At4kJasUnT,1483304945
Morning time on m25 https://t.co/59bm1zFpqS,1483305059
@TalesofanAlfa Other side of the M25 mate!,1483305066
M25 clockwise between J8 and J9 | Clockwise | Accident https://t.co/zv2YgXn1ht,1483305333
M25 clockwise between J8 and J9 | Accident https://t.co/JGmYPkgDzr Thx 2 HW England,1483305383
#M25 clockwise within J10 | Clockwise | Road Works | Surrey https://t.co/fDFdjZF5iP #uktraffic,1483305509
"@MarissaHero @twin1nvasion The A1 always has traffic....that's no good. 
The M25 isn't great either. (british road jokes)",1483305870
M25 clockwise between J8 and J9 | Clockwise | Accident | Surrey https://t.co/Q3XCNxwiwj #breakingnews #uktraffic,1483306424
"@NorthEastEngBVB I'd feel safer under Tories with UKIP as 3rd party, then the London Left Brigade incharge. They've no clue outside M25.",1483306654
m25 is not something i wanna face lol,1483307363
#방탄소년단 #love #GOT7M25 clockwise between J8 and J9 | Clockwise | Accident https://t.co/M96qmwmXwB #travel #traveling,1483308183
Helped nearby drivers by reporting a car accident on M25 (CW) on @waze - Drive Social. https://t.co/dIyhpY8GMQ,1483308732
@Carpervert have they caught the M25 cat killer yet??,1483311231
#M25 clockwise within J10 | Clockwise | Road Works | Surrey https://t.co/yMcuvZlmjf #uktraffic,1483314582
"@SherrinThePain *vast* majority? 55% to 45% at most outside M25. Scots certainly didn't &amp; they are as much ""left behind"" as English.",1483316081
#M25 westbound between (Heathrow) T5 and J14 - Congestion - Full details at https://t.co/l5EmoAw0RN,1483316102
#M25 westbound between (Heathrow) T5 and J14 - Congestion - Full details at https://t.co/LwI3prBa31,1483316103
M25 westbound between (Heathrow) T5 and J14 | Anti-Clockwise | Congestion https://t.co/Ue7k5AIUMp,1483316244
@theMattachines @EtonOldBoys she used the profits to pay the dole for the IMMEDIATELY jobless industry workers &amp; the M25,1483319909
M25 clockwise between J10 and J11 | Clockwise | Road Works,1483319943
South East Traffic M25 clockwise between J10 and J11 | Clockwise | Road Works https://t.co/90dGX2LJIX Drive Safe All,1483320641
M25 clockwise between J10 and J11 | Clockwise | Road Works https://t.co/21GDJ2o1Jn,1483321172
"So sad #CSI #Vegas  #Grissom know the feeling after this year, song went unheard 😕 @ M25 motorway https://t.co/NNK9LsJggf",1483321394
I'm coming home Newcastle! 🎼🎶🎵🔙⚪️⚫️ #gig #tour #NY17 @ M25 London https://t.co/YqgyQuUuh3,1483322916
Top 5 freestyle 2016 bar even if I have no idea what @UncleMez is saying for the 2nd half cos I don't understand an… https://t.co/qsyAmkj5mB,1483323042
#M25 clockwise between J12 and J13 | Clockwise | Road Works | Windsor and Maidenhead https://t.co/82gdKmGx61 #uktraffic,1483323718
#방탄소년단 #love #GOT7M25 clockwise between J10 and J11 | Clockwise | Road Works https://t.co/BQ9lnPkAin #travel #traveling,1483325227
@Andrew_M25 it's called outlaw justice! Crabtree will deal with much worse in the playoffs,1483328215
"@Andrew_M25 no doubt you shouldn't mess with anything someone has around their neck, but I guarantee Crabtree ain't completely innocent",1483328378
"@Andrew_M25 Talib sets the tone too though, notice how Crabtree didn't do really impact the game after that",1483328627
@Kevin_M25 @seducsive you think you are so hilarious🙄😂,1483331235
#M25 clockwise between J10 and J11 | Clockwise | Road Works | Surrey https://t.co/jbHn3njYqD #uktraffic,1483331896
"#M25 UPDATE
#DriverHour #flockbn #kprs #atsocialmediart #londonislovinit https://t.co/P9CxZSaGIZ",1483332155
M25 - Morning Rain: https://t.co/CkvgM210yk,1483335369
Man standing on top of the cliff #panoplatres https://t.co/Vb512gq9l3 #panoplatres,1483338876
"Homeward Bound!  Isle of Man to Heysham by Ferry, then back to suburbia &amp; south east via M6 car-park, M40, M25. How bad can it be?......",1483341390
"@LutonNews_LTFC In case I forget later on today whilst getting fearfully annoyed with the M25, could I say Portsmouth 1 Luton 1 please.",1483343156
"May your 2017 be filled with Happiness, Love &amp; Success - Lucky number 7 is amongst us! 😁 @ M25… https://t.co/c5JS1KC4to",1483343879
#방탄소년단 #love #GOT7M25 clockwise between J15 and J16 | Clockwise | Road Works https://t.co/ZhhOO7VUij #travel #traveling,1483346074
"B3228 : Broken down vehicle anticlockwise between Swanscombe and M25 J31, two lanes closed",1483346571
"@PaintySim I'd probably drive up as it's only 2 hours (ish) up M25 &amp; M1, but funnily enough I don't actually play any GW games currently.",1483347108
B3228 : Broken down vehicle removed anticlockwise between Swanscombe and M25 J31,1483347750
"And if they put a tracker on the USB, could have caught her at the M4 exit off M25 rather than show off all those exotic sites #SherlockPBS",1483348581
Happy #bankholiday! Ttime to get organised! Did you know that you can save up to 40% with our special delegate offe… https://t.co/Sb3iUTOiLZ,1483349084
The New year arrived &amp; we're here to help you accomplish your resolutions! Vital new member benefits coming soon!… https://t.co/iRR1DUL03u,1483349661
Happy #bankholiday ! Perfect time to start organising the New Year! Up to 40% off your delegate package #offer… https://t.co/iFoXun562p,1483351021
Busiest I've ever seen the M25! https://t.co/19YpLHPne7,1483351391
M25 running smoothly for away day to Gillingham. @OUFCOfficial,1483353823
#M25 Slow anti clockwise around the entry slip road to Junction 1A around the #StAlbans area.,1483355565
The gorgeous new Alan Hannah Devoted collection will be available from January  Jon Richard Jewellery Debenhams -... https://t.co/vEZnJJ1o1O,1483356114
"There's luxury outside the m25 too, you know...

https://t.co/4jqiQJX4Kr https://t.co/N6lg8cBSzg",1483356114
#M25 Queueing due to earlier broken down vehicle on M25 anticlockwise between Clacket Lane Services and Junction 5 for Sevenoaks.,1483356164
Traffic is temporarily stopped on #M25 clockwise between J15 and J16 while @HighwaysEAST deal with a collision. Please bear with us.,1483356459
Traffic is temporarily stopped on #M25 clockwise between J15 and J16 while @HighwaysEAST deal with a collision. Please bear with us.,1483356459
#M25 Queueing and road blocked due to accident clockwise between Junction 15 for the M4 and Junction 16 for the M40.,1483356528
"#M25 *UPDATE* Traffic easing, earlier broken down vehicle anticlockwise between Clacket Lane Services and Junction 5 for Sevenoaks.",1483356634
"M25 TRAFFIC NEWS - #HighwaysEngland @HighwaysSEAST  

Traffic is temporarily stopped on #M25 clockwise between... https://t.co/VG8r0qS5iE",1483356646
@LFCLondon are there any other pick up points other than Euston (e.g. near M25)?,1483356656
Traffic is temporarily stopped on #M25 clockwise between J15 and J16 while HighwaysEAST deal with a collision. Please bear with us. Thx 2 H…,1483356675
The vehicles involved in the collision on #M25 C/W J15-J16 have been moved to the hard shoulder and all lanes have re-opened.,1483356846
The vehicles involved in the collision on #M25 C/W J15-J16 have been moved to the hard shoulder and all lanes have re-opened.,1483356846
The vehicles involved in the collision on #M25 C/W J15-J16 have been moved to the hard shoulder and all lanes have re-opened. Thx 2 HW Engl…,1483357006
M25 C/Wise btwn J15 (M4) &amp; J16 (M40) VERY SLOW https://t.co/aqPAA9Cd7N,1483357037
#M25 clockwise between J15 and J16 - Congestion - Full details at https://t.co/l5EmoAw0RN,1483357144
A2 eastbound access from M25/A282 | Eastbound | Congestion,1483357325
A282 northbound access from A206 | Anti-Clockwise | Congestion | Kent https://t.co/QJNGof0XcT #m25 #southeast #uktraffic,1483357402
#M25 clockwise within J15 | Congestion https://t.co/q1Pl2HaDxF,1483357595
#M25 clockwise within J15 | Congestion https://t.co/V1kE4GPcCB Thx 2 HW England,1483357626
#M25 clockwise within J15 - Congestion - Full details at https://t.co/LwI3prBa31,1483357866
#M25 Heavy traffic due to an accident  anticlockwise between Junction 16 for the M40 and Junction 15 for the Thorney Interchange.,1483357914
A2 eastbound access from M25/A282 | Eastbound | Congestion https://t.co/PQvX01IKvM,1483358347
@rebecca_weeks8 not for another year yet ( still got me for now 😏) but will be just north of the m25 area xxxxx,1483358660
#방탄소년단 #love #GOT7M25 clockwise within J15 | Clockwise | Congestion https://t.co/fffaemcxEB #travel #traveling,1483358763
Medium Accident: Eastbound between J2 and Southfleet Road #Kent #Traffic #M25 #A2260,1483358767
M25 clockwise within J14 | Clockwise | Congestion,1483358793
#M25 Queueing traffic due to earlier accident clockwise between Junction 14 for Heathrow and Junction 16 for the M40.,1483358896
#M25 clockwise within J14 - Congestion - Full details at https://t.co/LwI3prBa31,1483358943
"Stuck on the m25 junction2 trying to get to @Bluewaterstones, been here a while....hope we make the signing! 😱",1483359063
#A12 southbound exit for M25 | Southbound | Congestion | Greater London Authority https://t.co/Q8myoE2Tah #uktraffic,1483359230
"@AndreaCCahill @simonscarspots And slowing down the traffic on the M25 in a good way, this little #Austin8 from 1946 https://t.co/HU23BL4ekM",1483359366
Queues on M25 clockwise between J14 A3113 (Heathrow) and J16 M40 after an earlier accident. #BOBTravel https://t.co/bWj7JlRqYH,1483359516
#M25 J2 clockwise exit - Congestion - Full details at https://t.co/l5EmoAw0RN,1483359669
#M25 J2 clockwise exit - Congestion - Full details at https://t.co/LwI3prBa31,1483359669
M25 J2 clockwise exit | Clockwise | Congestion,1483359846
connector at M25 J2/A2/A282 | Anti-Clockwise | Congestion,1483359846
"@BusHallmark - ok - not great though, last buses at 6.30pm for an urban area inside the M25 @nwsurreybug",1483359867
#M25 clockwise between J13 and J14 - Congestion - Full details at https://t.co/l5EmoAw0RN,1483360030
#A2 eastbound within the M25/A282 junction | Eastbound | Congestion | Kent https://t.co/JqUIEvk7gG #uktraffic,1483360135
#M25 J2 clockwise exit - Congestion - Full details at https://t.co/l5EmoANBJl,1483360213
connector at M25 J2/A2/A282 | Anti-Clockwise | Congestion https://t.co/Eis1Sry5KS,1483360324
M25 J2 clockwise exit | Clockwise | Congestion https://t.co/3LJCByjWfP,1483360325
M25 clockwise within J14 | Clockwise | Congestion https://t.co/gDXYzuivxg,1483360326
connector at M25 J2/A2/A282 | Congestion https://t.co/FTIr71i2fJ,1483360386
"@AvivaUKSupport 6.8?! Jack mate, it's the M25 not the Nurburgring",1483360496
"Back in UK. Sleep-deprived, freezing and on the never-ending M25. Hashtag sad face. Someone get me to a Starbucks.",1483360572
connector at M25 J2/A2/A282 | Congestion https://t.co/2rnRiVC3qV Thx 2 HW England,1483360578
"Driven direct to Portsmouth today on M1, M25 and A3. Normally prefer patient buildup driving sideways on M4 a few times first #NewYearNewMe",1483360876
#M25 J2 clockwise exit | Clockwise | Congestion | Kent https://t.co/Ade89XF8f3 #uktraffic,1483361073
#M25 clockwise within J13 - Congestion - Full details at https://t.co/l5EmoAw0RN,1483361114
@AngeStevenson what a pain! Typical M25! Good luck!!,1483361263
M25 to A2 traffic very heavy @Official_BRFC leave plenty of time,1483361348
#M25 J2 anti-clockwise exit - Congestion - Full details at https://t.co/l5EmoAw0RN,1483361473
#M23 Slow traffic Northbound near M25 J7.,1483361875
Minor Congestion: Northbound near J7 #Surrey #Traffic #M25,1483361887
Severe Accident: Northbound between J9 and J7 #WestSussex #Traffic #M23 #M25,1483362367
"@zappa_hey Scotland has no debt and cannot borrow. Imp Expenses trick used to allocate UK infrastructure eg M25, Olympics, Millenium Dome,",1483362430
A2 eastbound access from M25/A282 | Eastbound | Congestion https://t.co/7tB8hEMOMH,1483362485
"#M25 *UPDATE* Heavy past Heathrow, due to accident just before 11:30. Queueing clockwise between Junction 13 Staines &amp; Junction 15 for M4.",1483363548
@LBC @StigAbell Sadly for @UKLabour they have lost their liberal elite supporters inside the M25. They'll have to split to gain a foothold!,1483363835
connector at M25 J2/A2/A282 | Westbound | Congestion,1483363864
M25 clockwise within J13 | Clockwise | Congestion | Windsor and Maidenhead https://t.co/rx5YAnuEBD #breakingnews #uktraffic,1483363899
M25 J2 anti-clockwise exit | Congestion https://t.co/Mrzv5D0MMm,1483364253
"Available until 10.30pm today, and unusually, only need 30m notice. Call 07506 296395 for #BBW #escort near Watford -- close to J17 of M25",1483364454
M25 J2 anti-clockwise exit | Congestion https://t.co/FSoP7iS47F Thx 2 HW England,1483364485
Minor Congestion: Northbound at J7 #Surrey #Traffic #M25,1483365487
Really glad we did Ikea early in the day - on the way out the queues to get into Lakeside were pretty much back to the M25!,1483365795
A2 eastbound access from M25/A282 | Eastbound | Congestion https://t.co/WyAa9Q6NIW,1483366565
"Sitting in traffic on m25 with the caravan and @metcalfe_martin, man pulls up besides us and ask if we could put kettle on 😂, #slightlyweird",1483366699
"Parma ham, melon, m25 I'm a posh bird on the road! #poshnosh #M25 https://t.co/yTctp1XQQQ",1483366772
@Traffic_M25 1 vehicle accident (lane blocked) slip road from M40 to M25 going anti-clockwise. #m25crash #m40,1483366879
#M23 - MINOR - Surrey Northbound - Congestion - At M25 J7 Surrey,1483367239
#M25 - MEDIUM - Kent Both Ways - Disruption - Queuing traffic on the exit slip road at J2 For A2 Kent,1483367346
#M25 - MEDIUM - Surrey Clockwise - Congestion - Between J14 for A30 Surrey and J16 for M40 Fulmer,1483367415
"This immaculate home in #Manchester has plenty of space and an enviable location:

https://t.co/yogJQ6E5Qa https://t.co/eLhrTDU00S",1483367448
M25 C/Wise very slow btwn J15 (M4) and J16 (M40) https://t.co/SD0PbB2MNS,1483368466
#M25 clockwise btwn J14 + J15 nr @HeathrowAirport reports of 2 lanes closed for a broken down vehicle. Please approach with care.,1483369208
#M25 clockwise btwn J14 + J15 nr @HeathrowAirport reports of 2 lanes closed for a broken down vehicle. Please approach with care.,1483369208
#M25 clockwise btwn J14 + J15 nr @HeathrowAirport The vehicle has now been moved to the hard shoulder. All lanes open. Delays will ease.,1483369275
#M25 clockwise btwn J14 + J15 nr @HeathrowAirport The vehicle has now been moved to the hard shoulder. All lanes open. Delays will ease.,1483369275
#M25 clockwise btwn J14 + J15 nr HeathrowAirport reports of 2 lanes closed for a broken down vehicle. Please approach with care. Thx 2 HW E…,1483369305
#M25 clockwise btwn J14 + J15 nr HeathrowAirport The vehicle has now been moved to the hard shoulder. All lanes open. Delays will ease. Thx…,1483369306
#M25 J3 clockwise exit - Congestion - Full details at https://t.co/l5EmoAw0RN,1483369569
#M25 J3 clockwise exit - Congestion - Full details at https://t.co/LwI3prBa31,1483369569
M25 J3 clockwise exit | Clockwise | Congestion,1483369656
M25 J3 clockwise exit | Congestion https://t.co/vJhyiIQtSp,1483369747
2nd road trip of the year......destination MK #m3 #m25 #m1 #congestionlooms,1483369824
M25 J3 clockwise exit | Congestion https://t.co/qEK8F8llT6 Thx 2 HW England,1483369875
"#Traffic #update M25 anti-clockwise between J26 and J25 | Anti-Clockwise | Vehicle Recovery https://t.co/G7EeIMTBsU January 2, 2017",1483370035
M25 anti-clockwise between J26 and J25 | Vehicle Recovery https://t.co/uXvlFAzKE0,1483370043
#M25 anti-clockwise between J26 and J25 - Vehicle Recovery - Full details at https://t.co/LwI3prBa31,1483370107
M25 anti-clockwise between J26 and J25 | Anti-Clockwise | Vehicle Recovery https://t.co/AuVbdxLcO8,1483370195
M25 anti-clockwise between J26 and J25 | Vehicle Recovery https://t.co/MpIWvsf690 Thx 2 HW England,1483370276
